"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2025","4.562","4.687","4.834","4.552","19.00M","-2.66%"
"02/05/2025","4.687","4.742","4.861","4.637","21.92M","-1.17%"
"02/04/2025","4.742","5.181","5.227","4.586","51.86M","-8.48%"
"02/03/2025","5.181","5.155","5.273","3.890","199.06M","0.55%"
"02/02/2025","5.153","5.910","6.044","4.911","55.87M","-12.80%"
"02/01/2025","5.909","6.322","6.488","5.892","34.02M","-6.53%"
"01/31/2025","6.322","6.123","6.496","6.030","28.80M","3.25%"
"01/30/2025","6.123","5.763","6.251","5.727","17.65M","6.25%"
"01/29/2025","5.763","5.651","5.876","5.548","19.83M","1.98%"
"01/28/2025","5.651","5.949","6.029","5.601","16.67M","-5.01%"
"01/27/2025","5.949","6.176","6.205","5.499","41.19M","-3.67%"
"01/26/2025","6.175","6.320","6.469","6.168","12.25M","-2.28%"
"01/25/2025","6.320","6.320","6.394","6.250","10.77M","0.00%"
"01/24/2025","6.320","6.352","6.542","6.206","15.68M","-0.49%"
"01/23/2025","6.351","6.459","6.499","6.203","21.99M","-1.68%"
"01/22/2025","6.459","6.624","6.693","6.435","13.31M","-2.51%"
"01/21/2025","6.626","6.377","6.840","6.160","27.94M","3.91%"
"01/20/2025","6.376","6.249","6.952","6.067","71.49M","2.00%"
"01/19/2025","6.252","7.040","7.231","6.135","60.68M","-11.20%"
"01/18/2025","7.040","7.491","7.558","6.848","28.54M","-6.02%"
"01/17/2025","7.491","7.149","7.567","7.149","25.88M","4.78%"
"01/16/2025","7.149","7.163","7.377","6.849","35.21M","-0.19%"
"01/15/2025","7.162","6.663","7.190","6.559","29.77M","7.50%"
"01/14/2025","6.663","6.397","6.685","6.371","17.81M","4.15%"
"01/13/2025","6.397","6.630","6.802","6.057","63.77M","-3.52%"
"01/12/2025","6.631","6.739","6.815","6.543","7.43M","-1.59%"
"01/11/2025","6.738","6.731","6.871","6.587","9.95M","0.10%"
"01/10/2025","6.731","6.557","6.803","6.500","21.04M","2.66%"
"01/09/2025","6.556","6.759","6.838","6.461","23.78M","-2.99%"
"01/08/2025","6.759","7.013","7.132","6.449","39.38M","-3.62%"
"01/07/2025","7.013","7.767","7.886","7.010","38.79M","-9.71%"
"01/06/2025","7.767","7.670","7.985","7.544","36.80M","1.27%"
"01/05/2025","7.670","7.674","7.728","7.473","12.63M","-0.06%"
"01/04/2025","7.674","7.754","7.878","7.611","17.74M","-1.03%"
"01/03/2025","7.754","7.174","7.990","7.137","36.16M","8.08%"
"01/02/2025","7.175","7.046","7.355","7.046","19.02M","1.84%"
"01/01/2025","7.045","6.642","7.132","6.521","8.35M","6.00%"
"12/31/2024","6.646","6.703","6.920","6.567","218.65M","-0.89%"
"12/30/2024","6.706","6.865","7.098","6.542","21.51M","-2.32%"
"12/29/2024","6.865","7.113","7.145","6.812","21.99M","-3.49%"
"12/28/2024","7.114","6.908","7.166","6.815","12.96M","2.98%"
"12/27/2024","6.908","6.933","7.282","6.835","22.53M","-0.36%"
"12/26/2024","6.933","7.503","7.582","6.887","23.47M","-7.59%"
"12/25/2024","7.502","7.553","7.633","7.364","19.71M","-0.66%"
"12/24/2024","7.552","7.384","7.634","7.174","29.45M","2.28%"
"12/23/2024","7.384","6.840","7.536","6.676","38.87M","7.96%"
"12/22/2024","6.840","6.966","7.245","6.707","126.60M","-1.81%"
"12/21/2024","6.966","7.292","7.795","6.864","70.19M","-4.48%"
"12/20/2024","7.292","6.946","7.353","6.086","87.68M","4.98%"
"12/19/2024","6.946","7.689","7.775","6.778","203.74M","-9.68%"
"12/18/2024","7.691","8.486","8.545","7.592","42.76M","-9.29%"
"12/17/2024","8.479","8.754","8.965","8.386","56.95M","-3.14%"
"12/16/2024","8.754","9.025","9.190","8.599","71.37M","-2.93%"
"12/15/2024","9.018","8.554","9.250","8.374","44.18M","5.39%"
"12/14/2024","8.557","9.088","9.206","8.358","114.13M","-5.85%"
"12/13/2024","9.088","9.058","9.230","8.790","27.66M","0.34%"
"12/12/2024","9.057","8.992","9.658","8.919","44.47M","0.72%"
"12/11/2024","8.992","8.392","9.258","8.045","42.06M","7.02%"
"12/10/2024","8.403","8.510","8.713","7.594","60.09M","-1.25%"
"12/09/2024","8.509","10.394","10.397","7.781","73.19M","-18.14%"
"12/08/2024","10.395","10.594","10.801","10.203","24.15M","-2.03%"
"12/07/2024","10.610","10.673","10.918","10.313","29.49M","-0.60%"
"12/06/2024","10.674","10.371","10.875","10.019","21.40M","2.90%"
"12/05/2024","10.373","10.508","11.230","9.919","65.57M","-1.29%"
"12/04/2024","10.509","9.788","11.611","9.690","97.40M","7.37%"
"12/03/2024","9.787","10.010","10.354","9.122","73.42M","-2.22%"
"12/02/2024","10.010","9.293","10.182","8.466","73.28M","7.70%"
"12/01/2024","9.294","8.942","9.385","8.701","34.51M","3.93%"
"11/30/2024","8.942","9.008","9.204","8.609","41.85M","-0.72%"
"11/29/2024","9.007","8.573","9.067","8.453","39.03M","5.07%"
"11/28/2024","8.573","8.457","8.653","8.028","68.14M","1.36%"
"11/27/2024","8.458","8.077","8.559","7.862","65.27M","4.71%"
"11/26/2024","8.077","8.231","8.437","7.586","77.66M","-1.87%"
"11/25/2024","8.231","8.820","9.283","8.172","96.93M","-6.68%"
"11/24/2024","8.820","8.522","10.267","8.109","189.03M","3.50%"
"11/23/2024","8.522","6.638","9.265","6.606","189.14M","28.36%"
"11/22/2024","6.639","5.936","6.669","5.882","77.46M","11.83%"
"11/21/2024","5.936","5.721","5.951","5.484","48.55M","3.76%"
"11/20/2024","5.721","5.804","6.065","5.562","48.68M","-1.40%"
"11/19/2024","5.803","6.007","6.036","5.679","110.98M","-3.38%"
"11/18/2024","6.006","5.456","6.090","5.436","50.75M","10.14%"
"11/17/2024","5.453","5.773","6.119","5.375","59.04M","-5.55%"
"11/16/2024","5.773","5.160","5.784","5.140","60.70M","11.88%"
"11/15/2024","5.160","4.773","5.165","4.726","35.96M","8.13%"
"11/14/2024","4.772","5.076","5.207","4.707","89.63M","-6.01%"
"11/13/2024","5.077","5.309","5.413","4.950","68.25M","-4.36%"
"11/12/2024","5.308","5.659","5.827","5.147","122.58M","-6.19%"
"11/11/2024","5.659","5.219","5.731","5.000","59.99M","8.39%"
"11/10/2024","5.221","4.629","5.478","4.598","104.13M","12.79%"
"11/09/2024","4.629","4.326","4.636","4.267","39.20M","6.98%"
"11/08/2024","4.326","4.162","4.386","4.120","36.14M","3.98%"
"11/07/2024","4.161","4.112","4.196","4.051","53.10M","1.16%"
"11/06/2024","4.113","3.855","4.126","3.855","29.88M","6.69%"
"11/05/2024","3.855","3.751","3.912","3.750","16.04M","2.79%"
"11/04/2024","3.751","3.784","3.837","3.688","11.46M","-0.88%"
"11/03/2024","3.784","3.906","3.928","3.669","12.54M","-3.11%"
"11/02/2024","3.906","3.908","3.946","3.824","23.30M","-0.10%"
"11/01/2024","3.909","3.958","3.995","3.859","22.52M","-1.23%"
"10/31/2024","3.958","4.173","4.199","3.904","13.70M","-5.16%"
"10/30/2024","4.173","4.193","4.214","4.137","9.28M","-0.47%"
"10/29/2024","4.193","4.132","4.247","4.123","21.66M","1.49%"
"10/28/2024","4.132","4.130","4.225","4.012","20.19M","0.03%"
"10/27/2024","4.130","4.034","4.132","4.010","7.49M","2.39%"
"10/26/2024","4.034","4.001","4.057","3.947","9.38M","0.84%"
"10/25/2024","4.000","4.206","4.216","3.907","14.90M","-4.88%"
"10/24/2024","4.206","4.213","4.259","4.167","30.51M","-0.17%"
