"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2025","0.00000949","0.00001001","0.00001038","0.00000946","3,767.42B","-5.19%"
"02/05/2025","0.00001001","0.00001016","0.00001046","0.00000975","3,249.43B","-1.48%"
"02/04/2025","0.00001016","0.00001100","0.00001109","0.00000966","5,481.84B","-7.64%"
"02/03/2025","0.00001100","0.00001078","0.00001144","0.00000795","20,273.43B","2.14%"
"02/02/2025","0.00001077","0.00001224","0.00001252","0.00001001","6,555.98B","-12.01%"
"02/01/2025","0.00001224","0.00001386","0.00001429","0.00001206","2,991.33B","-11.69%"
"01/31/2025","0.00001386","0.00001294","0.00001477","0.00001275","4,902.49B","7.11%"
"01/30/2025","0.00001294","0.00001240","0.00001350","0.00001224","3,375.93B","4.35%"
"01/29/2025","0.00001240","0.00001145","0.00001333","0.00001138","5,011.19B","8.30%"
"01/28/2025","0.00001145","0.00001311","0.00001335","0.00001133","3,724.07B","-12.66%"
"01/27/2025","0.00001311","0.00001401","0.00001401","0.00001211","7,109.53B","-6.49%"
"01/26/2025","0.00001402","0.00001504","0.00001520","0.00001397","2,138.54B","-6.78%"
"01/25/2025","0.00001504","0.00001494","0.00001540","0.00001459","1,596.56B","0.67%"
"01/24/2025","0.00001494","0.00001533","0.00001616","0.00001458","3,016.31B","-2.48%"
"01/23/2025","0.00001532","0.00001515","0.00001557","0.00001431","3,945.65B","1.12%"
"01/22/2025","0.00001515","0.00001591","0.00001618","0.00001501","2,395.13B","-4.78%"
"01/21/2025","0.00001591","0.00001580","0.00001637","0.00001473","3,912.56B","0.76%"
"01/20/2025","0.00001579","0.00001604","0.00001758","0.00001515","7,721.07B","-1.56%"
"01/19/2025","0.00001604","0.00001846","0.00001900","0.00001521","10,955.57B","-13.06%"
"01/18/2025","0.00001845","0.00002032","0.00002102","0.00001811","3,905.73B","-9.07%"
"01/17/2025","0.00002029","0.00001814","0.00002054","0.00001813","3,187.35B","11.91%"
"01/16/2025","0.00001813","0.00001907","0.00001925","0.00001797","2,051.64B","-4.88%"
"01/15/2025","0.00001906","0.00001747","0.00001922","0.00001686","2,826.63B","9.10%"
"01/14/2025","0.00001747","0.00001686","0.00001762","0.00001680","2,112.55B","3.62%"
"01/13/2025","0.00001686","0.00001775","0.00001828","0.00001564","3,595.60B","-4.96%"
"01/12/2025","0.00001774","0.00001801","0.00001805","0.00001749","945.95B","-1.50%"
"01/11/2025","0.00001801","0.00001764","0.00001847","0.00001748","1,221.68B","2.04%"
"01/10/2025","0.00001765","0.00001700","0.00001790","0.00001700","2,282.02B","3.76%"
"01/09/2025","0.00001701","0.00001782","0.00001809","0.00001665","2,759.74B","-4.60%"
"01/08/2025","0.00001783","0.00001858","0.00001889","0.00001702","3,465.42B","-4.09%"
"01/07/2025","0.00001859","0.00002077","0.00002083","0.00001847","3,426.88B","-10.54%"
"01/06/2025","0.00002078","0.00002071","0.00002138","0.00002028","1,869.89B","0.34%"
"01/05/2025","0.00002071","0.00002113","0.00002139","0.00002032","1,204.49B","-1.99%"
"01/04/2025","0.00002113","0.00002159","0.00002188","0.00002056","2,012.89B","-2.13%"
"01/03/2025","0.00002159","0.00002047","0.00002174","0.00002007","2,517.71B","5.47%"
"01/02/2025","0.00002047","0.00001939","0.00002116","0.00001919","4,092.17B","5.57%"
"01/01/2025","0.00001939","0.00001996","0.00002077","0.00001907","3,571.46B","-2.81%"
"12/31/2024","0.00001995","0.00001845","0.00002183","0.00001771","8,464.04B","8.19%"
"12/30/2024","0.00001844","0.00001790","0.00001895","0.00001746","2,578.09B","3.07%"
"12/29/2024","0.00001789","0.00001877","0.00001918","0.00001775","1,518.60B","-4.64%"
"12/28/2024","0.00001876","0.00001788","0.00001902","0.00001777","1,675.98B","4.92%"
"12/27/2024","0.00001788","0.00001739","0.00001829","0.00001725","2,362.04B","2.82%"
"12/26/2024","0.00001739","0.00001854","0.00001877","0.00001705","2,881.87B","-6.20%"
"12/25/2024","0.00001854","0.00001925","0.00001937","0.00001815","2,947.37B","-3.69%"
"12/24/2024","0.00001925","0.00001848","0.00001954","0.00001790","3,297.50B","4.11%"
"12/23/2024","0.00001849","0.00001785","0.00001885","0.00001724","4,418.07B","3.59%"
"12/22/2024","0.00001785","0.00001742","0.00001842","0.00001668","4,498.79B","2.53%"
"12/21/2024","0.00001741","0.00001768","0.00001972","0.00001695","6,686.08B","-1.47%"
"12/20/2024","0.00001767","0.00001705","0.00001793","0.00001441","9,724.77B","3.64%"
"12/19/2024","0.00001705","0.00001944","0.00001975","0.00001657","8,075.28B","-12.34%"
"12/18/2024","0.00001945","0.00002244","0.00002253","0.00001903","5,182.85B","-13.29%"
"12/17/2024","0.00002243","0.00002344","0.00002365","0.00002207","2,259.72B","-4.39%"
"12/16/2024","0.00002346","0.00002416","0.00002471","0.00002290","3,309.33B","-2.94%"
"12/15/2024","0.00002417","0.00002333","0.00002451","0.00002260","2,161.56B","3.64%"
"12/14/2024","0.00002332","0.00002475","0.00002485","0.00002292","2,234.11B","-5.78%"
"12/13/2024","0.00002475","0.00002364","0.00002498","0.00002307","3,412.94B","4.70%"
"12/12/2024","0.00002364","0.00002513","0.00002572","0.00002322","4,628.62B","-5.85%"
"12/11/2024","0.00002511","0.00002348","0.00002549","0.00002163","7,967.38B","6.81%"
"12/10/2024","0.00002351","0.00002650","0.00002724","0.00002208","15,669.61B","-11.38%"
"12/09/2024","0.00002653","0.00002642","0.00002835","0.00002283","15,033.93B","0.49%"
"12/08/2024","0.00002640","0.00002491","0.00002715","0.00002420","7,605.71B","6.07%"
"12/07/2024","0.00002489","0.00002155","0.00002693","0.00002111","8,274.26B","15.50%"
"12/06/2024","0.00002155","0.00002119","0.00002222","0.00002036","4,456.71B","1.70%"
"12/05/2024","0.00002119","0.00002180","0.00002288","0.00002033","7,447.79B","-2.49%"
"12/04/2024","0.00002173","0.00002026","0.00002208","0.00002021","5,501.87B","7.36%"
"12/03/2024","0.00002024","0.00002043","0.00002107","0.00001884","4,259.18B","-0.93%"
"12/02/2024","0.00002043","0.00002225","0.00002282","0.00001955","6,155.82B","-8.22%"
"12/01/2024","0.00002226","0.00002020","0.00002331","0.00002007","6,528.35B","10.20%"
"11/30/2024","0.00002020","0.00002046","0.00002162","0.00002009","3,173.94B","-1.27%"
"11/29/2024","0.00002046","0.00001987","0.00002130","0.00001951","3,914.70B","3.07%"
"11/28/2024","0.00001985","0.00001974","0.00002034","0.00001895","3,121.93B","0.56%"
"11/27/2024","0.00001974","0.00001828","0.00002015","0.00001789","4,594.96B","7.93%"
"11/26/2024","0.00001829","0.00001897","0.00001946","0.00001730","6,083.52B","-3.64%"
"11/25/2024","0.00001898","0.00002022","0.00002073","0.00001835","5,561.32B","-6.04%"
"11/24/2024","0.00002020","0.00002049","0.00002121","0.00001909","5,330.05B","-1.42%"
"11/23/2024","0.00002049","0.00002065","0.00002234","0.00001964","10,195.77B","-0.68%"
"11/22/2024","0.00002063","0.00002071","0.00002183","0.00001978","7,615.62B","-0.24%"
"11/21/2024","0.00002068","0.00001877","0.00002168","0.00001805","10,515.92B","10.23%"
"11/20/2024","0.00001876","0.00001968","0.00002058","0.00001832","7,007.41B","-4.67%"
"11/19/2024","0.00001968","0.00002047","0.00002121","0.00001894","7,262.01B","-3.86%"
"11/18/2024","0.00002047","0.00002122","0.00002275","0.00001964","8,912.28B","-3.53%"
"11/17/2024","0.00002122","0.00002129","0.00002256","0.00001947","9,759.26B","-0.24%"
"11/16/2024","0.00002127","0.00002331","0.00002364","0.00002070","9,012.17B","-8.95%"
"11/15/2024","0.00002336","0.00002066","0.00002401","0.00001881","21,389.37B","13.18%"
"11/14/2024","0.00002064","0.00002081","0.00002570","0.00002008","35,150.18B","-0.77%"
"11/13/2024","0.00002080","0.00001413","0.00002242","0.00001249","43,120.96B","47.10%"
"11/12/2024","0.00001414","0.00001299","0.00001488","0.00001230","19,007.39B","8.85%"
"11/11/2024","0.00001299","0.00001233","0.00001344","0.00001176","15,648.94B","5.44%"
"11/10/2024","0.00001232","0.00001120","0.00001298","0.00001101","16,507.24B","10.10%"
"11/09/2024","0.00001119","0.00001077","0.00001146","0.00001045","10,298.06B","3.90%"
"11/08/2024","0.00001077","0.00001101","0.00001149","0.00001027","10,132.02B","-2.00%"
"11/07/2024","0.00001099","0.00000990","0.00001104","0.00000985","11,414.10B","11.12%"
"11/06/2024","0.00000989","0.00000857","0.00001004","0.00000857","12,758.27B","15.40%"
"11/05/2024","0.00000857","0.00000791","0.00000881","0.00000791","5,470.37B","8.34%"
"11/04/2024","0.00000791","0.00000818","0.00000837","0.00000772","3,585.95B","-3.18%"
"11/03/2024","0.00000817","0.00000872","0.00000873","0.00000787","4,013.47B","-6.31%"
"11/02/2024","0.00000872","0.00000888","0.00000900","0.00000855","1,883.76B","-1.80%"
"11/01/2024","0.00000888","0.00000912","0.00000935","0.00000872","3,412.34B","-2.63%"
"10/31/2024","0.00000912","0.00000964","0.00000970","0.00000900","3,255.37B","-5.30%"
"10/30/2024","0.00000963","0.00000968","0.00001011","0.00000927","4,750.17B","-0.52%"
"10/29/2024","0.00000968","0.00000918","0.00000991","0.00000914","4,717.31B","5.56%"
"10/28/2024","0.00000917","0.00000917","0.00000944","0.00000858","3,575.48B","0.00%"
"10/27/2024","0.00000917","0.00000907","0.00000929","0.00000894","2,066.84B","1.10%"
"10/26/2024","0.00000907","0.00000878","0.00000912","0.00000863","3,296.22B","3.30%"
"10/25/2024","0.00000878","0.00001000","0.00001005","0.00000842","5,329.49B","-12.20%"
"10/24/2024","0.00001000","0.00000981","0.00001008","0.00000968","2,555.98B","1.94%"
"10/23/2024","0.00000981","0.00001008","0.00001011","0.00000942","3,779.34B","-2.68%"
"10/22/2024","0.00001008","0.00001017","0.00001035","0.00000986","2,926.65B","-0.98%"
"10/21/2024","0.00001018","0.00001069","0.00001089","0.00001004","4,213.41B","-4.77%"
"10/20/2024","0.00001069","0.00001049","0.00001079","0.00001011","3,082.98B","1.91%"
"10/19/2024","0.00001049","0.00001051","0.00001094","0.00001033","3,515.97B","-0.19%"
"10/18/2024","0.00001051","0.00000988","0.00001073","0.00000984","4,680.24B","6.38%"
"10/17/2024","0.00000988","0.00001044","0.00001055","0.00000964","4,090.82B","-5.27%"
"10/16/2024","0.00001043","0.00001039","0.00001065","0.00001011","5,474.41B","0.38%"
"10/15/2024","0.00001039","0.00001091","0.00001117","0.00001003","10,187.84B","-4.68%"
"10/14/2024","0.00001090","0.00000970","0.00001107","0.00000955","9,392.19B","12.49%"
"10/13/2024","0.00000969","0.00000990","0.00000999","0.00000937","4,453.69B","-2.02%"
"10/12/2024","0.00000989","0.00000975","0.00001024","0.00000968","5,380.18B","1.44%"
"10/11/2024","0.00000975","0.00000929","0.00000995","0.00000921","6,735.74B","4.95%"
"10/10/2024","0.00000929","0.00000911","0.00000945","0.00000880","6,533.57B","1.98%"
"10/09/2024","0.00000911","0.00000951","0.00000985","0.00000899","7,179.08B","-4.21%"
"10/08/2024","0.00000951","0.00000980","0.00001006","0.00000933","7,958.99B","-3.06%"
"10/07/2024","0.00000981","0.00001023","0.00001081","0.00000978","11,590.69B","-4.11%"
"10/06/2024","0.00001023","0.00000935","0.00001032","0.00000926","8,193.75B","9.41%"
"10/05/2024","0.00000935","0.00000939","0.00000960","0.00000916","7,609.14B","-0.43%"
"10/04/2024","0.00000939","0.00000863","0.00000960","0.00000848","10,396.85B","8.68%"
"10/03/2024","0.00000864","0.00000924","0.00000952","0.00000836","11,169.88B","-6.49%"
"10/02/2024","0.00000924","0.00000970","0.00001030","0.00000893","12,228.97B","-4.74%"
"10/01/2024","0.00000970","0.00001046","0.00001144","0.00000930","16,490.68B","-7.35%"
"09/30/2024","0.00001047","0.00001129","0.00001149","0.00001035","10,721.78B","-7.18%"
"09/29/2024","0.00001128","0.00001139","0.00001194","0.00001099","11,013.45B","-0.88%"
"09/28/2024","0.00001138","0.00001070","0.00001154","0.00001056","12,105.17B","6.45%"
"09/27/2024","0.00001069","0.00000951","0.00001093","0.00000937","10,179.88B","12.41%"
"09/26/2024","0.00000951","0.00000844","0.00000972","0.00000822","10,259.05B","12.54%"
"09/25/2024","0.00000845","0.00000859","0.00000879","0.00000837","5,252.92B","-1.63%"
"09/24/2024","0.00000859","0.00000813","0.00000876","0.00000793","7,307.28B","5.66%"
"09/23/2024","0.00000813","0.00000801","0.00000834","0.00000783","3,613.66B","1.50%"
"09/22/2024","0.00000801","0.00000841","0.00000848","0.00000774","3,222.48B","-4.76%"
"09/21/2024","0.00000841","0.00000825","0.00000844","0.00000800","2,170.93B","2.06%"
"09/20/2024","0.00000824","0.00000795","0.00000850","0.00000772","6,611.22B","3.65%"
"09/19/2024","0.00000795","0.00000754","0.00000833","0.00000753","7,942.23B","5.58%"
"09/18/2024","0.00000753","0.00000732","0.00000754","0.00000700","4,821.08B","2.87%"
"09/17/2024","0.00000732","0.00000720","0.00000764","0.00000711","4,262.88B","1.67%"
"09/16/2024","0.00000720","0.00000735","0.00000739","0.00000706","3,242.74B","-2.04%"
"09/15/2024","0.00000735","0.00000775","0.00000783","0.00000730","1,847.29B","-5.16%"
"09/14/2024","0.00000775","0.00000791","0.00000794","0.00000763","2,240.86B","-1.90%"
"09/13/2024","0.00000790","0.00000741","0.00000805","0.00000731","3,280.59B","6.61%"
"09/12/2024","0.00000741","0.00000724","0.00000749","0.00000721","2,879.42B","2.35%"
"09/11/2024","0.00000724","0.00000747","0.00000747","0.00000697","3,485.42B","-2.95%"
"09/10/2024","0.00000746","0.00000739","0.00000755","0.00000729","2,821.31B","0.95%"
"09/09/2024","0.00000739","0.00000708","0.00000760","0.00000695","4,572.79B","4.38%"
"09/08/2024","0.00000708","0.00000677","0.00000740","0.00000671","4,317.97B","4.73%"
"09/07/2024","0.00000676","0.00000664","0.00000702","0.00000664","3,103.52B","1.81%"
"09/06/2024","0.00000664","0.00000711","0.00000727","0.00000634","4,899.34B","-6.61%"
"09/05/2024","0.00000711","0.00000735","0.00000741","0.00000701","2,389.74B","-3.27%"
"09/04/2024","0.00000735","0.00000727","0.00000752","0.00000685","4,339.83B","1.24%"
"09/03/2024","0.00000726","0.00000762","0.00000776","0.00000725","2,522.35B","-4.72%"
"09/02/2024","0.00000762","0.00000713","0.00000769","0.00000707","3,378.17B","6.72%"
